No,Country,City,Site name,Location,Start date,End date,Sample name,Sampling days,"Sampling volume, m3",Identified mass,HCB,a-HCH,b-HCH,g-HCH,d-HCH,"P,P'-DDT","o,p'-DDT","p,p'-DDE","o,p'-DDE","P,P'-DDD","o,p'-DDD",DBP,DDMU,Heptachlor,Aldrin,Isodrin,Heptachlor-exo-epoxide-b,Oxy-chlordane,Heptachlor epoxide-a,g-Chlordane,a-Chlordane,a-Endosulfan,b-Endosulfan ,Dieldrin,Endrin,Methoxychlor,Mirex,"Conc,",HCB,a-HCH,b-HCH,g-HCH,d-HCH,"P,P'-DDT","o,p'-DDT","p,p'-DDE","o,p'-DDE","P,P'-DDD","o,p'-DDD",DBP,DDMU,Heptachlor,Aldrin,Isodrin,Heptachlor-exo-epoxide-b,Oxy-chlordane,Heptachlor epoxide-a,g-Chlordane,a-Chlordane,a-Endosulfan,b-Endosulfan ,Dieldrin,Endrin,Methoxychlor,Mirex,
1,Bangladesh,Dhaka,BD-C1-1(Amin Bazar Dumping Place ),,2017-12-12,2018-03-16,SCP-52,94,329,pg,4130.81 ,655.58 ,98.74 ,2532.91 ,48.86 ,44004.43 ,16828.31 ,20270.70 ,3018.63 ,5255.26 ,1871.76 ,3652.49 ,2699.28 ,156.25 ,11.16 ,183.23 ,2.98 ,20.38 ,32.11 ,1416.56 ,500.01 ,56.17 ,305.73 ,179.45 ,95.66 ,607.20 ,36.11 ,pg/m3,12.51 ,1.99 ,0.29 ,7.70 ,0.15 ,133.39 ,51.02 ,61.50 ,9.17 ,15.93 ,5.67 ,10.92 ,8.16 ,0.46 ,0.03 ,0.54 ,<MDL,0.03 ,0.09 ,4.10 ,1.40 ,<MDL,0.91 ,0.53 ,0.28 ,1.83 ,0.11 ,
2,Bangladesh,Dhaka,"BD-C1-1(JJK, Gazipur)",,2018-01-05,2018-03-24,SCP-53,78,273,correctecd by Recovery standards,1320.57 ,428.55 ,56.04 ,1211.12 ,42.26 ,16746.84 ,7144.08 ,6435.16 ,836.77 ,1919.20 ,834.11 ,1007.36 ,859.83 ,98.26 ,3.43 ,24.95 ,2.86 ,51.70 ,16.08 ,1322.63 ,565.86 ,15.03 ,25.54 ,35.21 ,19.14 ,73.16 ,23.76 ,,4.78 ,1.57 ,0.19 ,4.43 ,0.15 ,60.90 ,26.01 ,23.43 ,3.06 ,6.97 ,3.03 ,3.47 ,3.10 ,0.34 ,<MDL,0.07 ,<MDL,0.15 ,0.05 ,4.60 ,1.93 ,<MDL,0.07 ,0.11 ,0.05 ,0.25 ,0.08 ,
3,Bangladesh,Dhaka,"BD-C1-1(Chemistry Building, DU)",,2017-12-09,2018-03-12,SCP-54,93,325.5,,1719.67 ,617.00 ,155.46 ,2660.18 ,95.71 ,85464.78 ,33826.12 ,26935.28 ,3164.41 ,10069.60 ,3117.72 ,4959.28 ,3793.50 ,732.84 ,4.75 ,112.08 ,2.60 ,20.76 ,5.26 ,2222.88 ,980.57 ,14.94 ,248.19 ,34.82 ,58.24 ,238.64 ,83.37 ,,5.24 ,1.89 ,0.47 ,8.17 ,0.29 ,262.20 ,103.79 ,82.64 ,9.71 ,30.89 ,9.56 ,15.05 ,11.61 ,2.23 ,0.01 ,0.33 ,<MDL,0.03 ,0.01 ,6.62 ,2.89 ,<MDL,0.74 ,0.10 ,0.16 ,0.72 ,0.25 ,
4,Bangladesh,Dhaka,BD-C1-1(Demra Dumping place),,2017-12-14,2018-03-13,SCP-55,89,311.5,,5342.20 ,670.94 ,148.33 ,2390.37 ,59.16 ,100790.78 ,43262.40 ,44917.79 ,6859.96 ,15237.73 ,5207.12 ,3260.10 ,6532.10 ,324.76 ,12.42 ,100.26 ,2.03 ,39.14 ,38.86 ,2687.46 ,803.06 ,231.82 ,734.75 ,115.65 ,88.18 ,186.92 ,58.17 ,,17.10 ,2.15 ,0.46 ,7.67 ,0.19 ,323.18 ,138.75 ,144.08 ,22.01 ,48.87 ,16.70 ,10.27 ,20.93 ,1.02 ,0.03 ,0.31 ,<MDL,0.09 ,0.12 ,8.41 ,2.45 ,0.70 ,2.34 ,0.36 ,0.27 ,0.59 ,0.18 ,
5,Bangladesh,Dhaka,"BD-C1-5-1(Mohakhali, Dhaka)",,2018-01-12,2018-03-29,SCP-56,76,266,,1084.58 ,386.73 ,138.28 ,1662.07 ,69.41 ,92388.66 ,33825.06 ,30377.77 ,3493.20 ,12237.86 ,4137.52 ,3451.25 ,6234.46 ,521.75 ,5.19 ,47.33 ,2.74 ,28.72 ,4.10 ,1176.52 ,532.33 ,52.87 ,192.16 ,32.13 ,13.97 ,116.34 ,28.79 ,,4.02 ,1.45 ,0.51 ,6.25 ,0.26 ,346.87 ,127.00 ,114.06 ,13.12 ,45.95 ,15.53 ,12.75 ,23.39 ,1.94 ,0.01 ,0.16 ,<MDL,0.07 ,0.01 ,4.17 ,1.85 ,<MDL,0.69 ,0.11 ,0.03 ,0.42 ,0.10 ,
6,Bangladesh,Dhaka,"BD-C1-7-1(Akrain Bazar, Savar)",,2018-01-22,2018-03-26,SCP-57,63,220.5,,1363.28 ,287.15 ,53.13 ,903.82 ,30.74 ,19531.13 ,2074.61 ,491.27 ,975.21 ,36.00 ,4.48 ,1636.66 ,1016.51 ,92.84 ,6.48 ,15.62 ,2.48 ,26.82 ,4.37 ,10342.21 ,6.80 ,147.82 ,6.63 ,7006.63 ,883.11 ,94.65 ,38.73 ,,6.12 ,1.30 ,0.22 ,4.10 ,0.14 ,88.03 ,9.22 ,2.06 ,4.41 ,<MDL,<MDL,7.15 ,4.55 ,0.39 ,0.02 ,0.05 ,<MDL,0.07 ,0.01 ,46.60 ,<MDL,0.61 ,<MDL,31.76 ,3.98 ,0.41 ,0.17 ,
7,Bangladesh,Dhaka,BD-C1-4-1(Demra Dumping+Medical Incineration Plant),,2017-12-14,2018-03-17,SCP-58,93,325.5,,2986.20 ,581.24 ,123.24 ,2735.49 ,69.60 ,155322.79 ,16719.24 ,596.74 ,11470.67 ,335.88 ,75.55 ,2118.05 ,1744.77 ,291.13 ,11.11 ,79.37 ,2.25 ,116.69 ,6.79 ,10462.63 ,263.22 ,8545.58 ,52.53 ,76888.69 ,5490.18 ,1185.75 ,1439.08 ,,9.13 ,1.78 ,0.37 ,8.40 ,0.21 ,476.81 ,51.24 ,1.72 ,35.23 ,0.99 ,0.21 ,6.32 ,5.32 ,0.88 ,0.03 ,0.23 ,<MDL,0.33 ,0.02 ,31.94 ,0.68 ,26.21 ,0.14 ,236.21 ,16.85 ,3.63 ,4.42 ,
8,Bangladesh,Dhaka,"BD-C1-6-1(Shiddhirgonj Power Plant, Dhaka)",,2017-12-14,2018-03-17,SCP-59,93,325.5,,983.12 ,447.68 ,63.62 ,2102.27 ,49.03 ,855393.79 ,457745.12 ,420553.17 ,122866.03 ,129235.26 ,43293.09 ,12900.33 ,35573.19 ,162.60 ,7.59 ,60.51 ,0.17 ,5.47 ,0.30 ,1098.51 ,432.97 ,17.10 ,312.12 ,16.41 ,125.75 ,123.22 ,17.79 ,,2.98 ,1.37 ,0.18 ,6.46 ,0.15 ,2627.57 ,1406.15 ,1291.91 ,377.46 ,396.99 ,132.99 ,39.45 ,109.25 ,0.48 ,0.02 ,0.17 ,<MDL,<MDL,<MDL,3.17 ,1.21 ,<MDL,0.94 ,0.04 ,0.37 ,0.37 ,0.05 ,
9,Bangladesh,Chittagong,"BD-C2-1-1(Old ship breaking yard Mosque, chittagong)",,2017-12-16,2018-03-23,SCP-60,97,339.5,,2245.69 ,1932.12 ,208.50 ,1483.89 ,195.54 ,18925.16 ,8858.07 ,5505.23 ,695.87 ,1483.57 ,680.03 ,2845.11 ,515.93 ,91.57 ,20.49 ,59.45 ,2.30 ,18.89 ,6.60 ,865.98 ,484.09 ,39.11 ,274.49 ,31.68 ,36.44 ,260.04 ,71.42 ,,6.57 ,5.69 ,0.60 ,4.37 ,0.57 ,55.39 ,25.97 ,16.11 ,2.04 ,4.33 ,1.98 ,8.20 ,1.48 ,0.25 ,0.05 ,0.16 ,<MDL,0.02 ,0.02 ,2.35 ,1.31 ,<MDL,0.79 ,0.08 ,0.09 ,0.76 ,0.21 ,
10,Bangladesh,Chittagong,"BD-C2-4-1(PHP Colored Tin Factory, Kumira, Shitakundo)",,2017-12-16,2018-03-23,SCP-61,97,339.5,,1323.59 ,252.97 ,72.69 ,930.30 ,11.91 ,9713.64 ,5488.45 ,3949.30 ,429.66 ,898.90 ,450.66 ,1575.29 ,333.89 ,37.29 ,7.48 ,19.44 ,3.06 ,20.58 ,1.72 ,1300.15 ,692.73 ,5.05 ,154.73 ,3.61 ,47.58 ,137.23 ,21.64 ,,3.86 ,0.74 ,0.20 ,2.74 ,0.03 ,28.26 ,16.04 ,11.52 ,1.26 ,2.60 ,1.31 ,4.46 ,0.95 ,0.09 ,0.02 ,0.04 ,<MDL,0.03 ,<MDL,3.63 ,1.92 ,<MDL,0.43 ,<MDL,0.13 ,0.39 ,0.06 ,
