No,Country,City,Site name,Location,Start date,End date,Sample name,Sampling days,"Sampling volume, m3",Identified mass,NAP,ACY,ACE,FLU,PHE,ANT,FLA,PYR,BaA,CHR,BbF,BkF,BaP,DahA,InD,DghiP,Concentration,NAP,ACY,ACE,FLU,PHE,ANT,FLA,PYR,BaA,CHR,BbF,BkF,BaP,DahA,InD,DghiP,16PAHs,,,,,,,,,,,,,,,,,,,,
1,Bangladesh,Dhaka,BD-C1-1(Amin Bazar Dumping Place ),,2017-12-12,2018-03-16,SCP-52,94,329,ng,37.39 ,12.84 ,47.24 ,76.02 ,907.61 ,37.60 ,580.12 ,462.45 ,23.90 ,67.75 ,20.82 ,7.40 ,8.43 ,7.49 ,1.07 ,8.25 ,ng/m3,0.23 ,0.08 ,0.29 ,0.46 ,5.52 ,0.23 ,3.53 ,2.81 ,0.15 ,0.41 ,0.13 ,0.05 ,0.05 ,0.05 ,0.01 ,0.05 ,14.02 ,,,,,,,,,,,,,,,,,,,,
2,Bangladesh,Dhaka,"BD-C1-1(JJK, Gazipur)",,2018-01-05,2018-03-24,SCP-53,78,273,corrected by Recovery,23.37 ,2.86 ,39.92 ,56.95 ,296.49 ,9.06 ,122.39 ,71.61 ,4.97 ,13.92 ,5.70 ,1.71 ,2.25 ,1.74 ,0.36 ,1.70 ,*2 for the whole PUF disk,0.17 ,0.02 ,0.29 ,0.42 ,2.17 ,0.07 ,0.90 ,0.52 ,0.04 ,0.10 ,0.04 ,0.01 ,0.02 ,0.01 ,0.00 ,0.01 ,4.80 ,,,,,,,,,,,,,,,,,,,,
3,Bangladesh,Dhaka,"BD-C1-1(Chemistry Building, DU)",,2017-12-09,2018-03-12,SCP-54,93,325.5,,21.45 ,1.83 ,3.86 ,21.00 ,278.01 ,8.81 ,270.40 ,198.67 ,9.99 ,39.75 ,11.07 ,3.74 ,5.04 ,6.88 ,2.54 ,4.73 ,,0.13 ,0.01 ,0.02 ,0.13 ,1.71 ,0.05 ,1.66 ,1.22 ,0.06 ,0.24 ,0.07 ,0.02 ,0.03 ,0.04 ,0.02 ,0.03 ,5.45 ,,,,,,,,,,,,,,,,,,,,
4,Bangladesh,Dhaka,BD-C1-1(Demra Dumping place),,2017-12-14,2018-03-13,SCP-55,89,311.5,,31.71 ,5.31 ,41.96 ,55.31 ,811.78 ,28.37 ,549.25 ,361.02 ,25.74 ,80.19 ,34.53 ,6.25 ,7.34 ,6.10 ,1.46 ,5.80 ,,0.20 ,0.03 ,0.27 ,0.36 ,5.21 ,0.18 ,3.53 ,2.32 ,0.17 ,0.51 ,0.22 ,0.04 ,0.05 ,0.04 ,0.01 ,0.04 ,13.18 ,,,,,,,,,,,,,,,,,,,,
5,Bangladesh,Dhaka,"BD-C1-5-1(Mohakhali, Dhaka)",,2018-01-12,2018-03-29,SCP-56,76,266,,86.29 ,1.91 ,22.75 ,32.26 ,412.16 ,1.62 ,315.83 ,228.70 ,8.58 ,60.82 ,10.82 ,39.54 ,6.36 ,5.61 ,0.53 ,6.63 ,,0.65 ,0.01 ,0.17 ,0.24 ,3.10 ,0.01 ,2.37 ,1.72 ,0.06 ,0.46 ,0.08 ,0.30 ,0.05 ,0.04 ,0.00 ,0.05 ,9.33 ,,,,,,,,,,,,,,,,,,,,
6,Bangladesh,Dhaka,"BD-C1-7-1(Akrain Bazar, Savar)",,2018-01-22,2018-03-26,SCP-57,63,220.5,,30.75 ,6.39 ,74.84 ,81.66 ,556.03 ,31.97 ,274.29 ,192.81 ,13.49 ,27.05 ,9.89 ,2.55 ,3.12 ,2.27 ,0.70 ,2.59 ,,0.28 ,0.06 ,0.68 ,0.74 ,5.04 ,0.29 ,2.49 ,1.75 ,0.12 ,0.25 ,0.09 ,0.02 ,0.03 ,0.02 ,0.01 ,0.02 ,11.89 ,,,,,,,,,,,,,,,,,,,,
7,Bangladesh,Dhaka,BD-C1-4-1(Demra Dumping+Medical Incineration Plant),,2017-12-14,2018-03-17,SCP-58,93,325.5,,25.06 ,4.05 ,31.69 ,45.27 ,886.48 ,30.44 ,868.81 ,583.06 ,39.98 ,101.38 ,43.53 ,8.65 ,10.22 ,10.78 ,2.48 ,10.09 ,,0.15 ,0.02 ,0.19 ,0.28 ,5.45 ,0.19 ,5.34 ,3.58 ,0.25 ,0.62 ,0.27 ,0.05 ,0.06 ,0.07 ,0.02 ,0.06 ,16.60 ,,,,,,,,,,,,,,,,,,,,
8,Bangladesh,Dhaka,"BD-C1-6-1(Shiddhirgonj Power Plant, Dhaka)",,2017-12-14,2018-03-17,SCP-59,93,325.5,,136.63 ,5.15 ,71.68 ,87.62 ,633.66 ,14.50 ,703.93 ,448.11 ,29.41 ,116.16 ,31.19 ,8.13 ,8.87 ,8.18 ,2.51 ,7.92 ,,0.84 ,0.03 ,0.44 ,0.54 ,3.89 ,0.09 ,4.33 ,2.75 ,0.18 ,0.71 ,0.19 ,0.05 ,0.05 ,0.05 ,0.02 ,0.05 ,14.22 ,,,,,,,,,,,,,,,,,,,,
9,Bangladesh,Chittagong,"BD-C2-1-1(Old ship breaking yard Mosque, chittagong)",,2017-12-16,2018-03-23,SCP-60,97,339.5,,35.22 ,11.80 ,13.22 ,43.70 ,581.83 ,20.75 ,759.92 ,518.84 ,53.43 ,156.66 ,85.10 ,25.46 ,22.79 ,25.51 ,5.80 ,20.44 ,,0.21 ,0.07 ,0.08 ,0.26 ,3.43 ,0.12 ,4.48 ,3.06 ,0.31 ,0.92 ,0.50 ,0.15 ,0.13 ,0.15 ,0.03 ,0.12 ,14.02 ,,,,,,,,,,,,,,,,,,,,
10,Bangladesh,Chittagong,"BD-C2-4-1(PHP Colored Tin Factory, Kumira, Shitakundo)",,2017-12-16,2018-03-23,SCP-61,97,339.5,,34.60 ,18.48 ,50.41 ,69.79 ,821.06 ,48.89 ,484.06 ,377.83 ,24.66 ,41.25 ,12.31 ,2.98 ,3.33 ,2.30 ,0.63 ,2.00 ,,0.20 ,0.11 ,0.30 ,0.41 ,4.84 ,0.29 ,2.85 ,2.23 ,0.15 ,0.24 ,0.07 ,0.02 ,0.02 ,0.01 ,0.00 ,0.01 ,11.75 ,,,,,,,,,,,,,,,,,,,,
